track,date,race_no,post_position,post_position,entry,entry,distance_in_yards,distance_in_yards,race_type,race_type,todays_trainer,todays_trainer,todays_jockey,todays_jockey,horse_name,horse_name,predicted_res_final_time,predicted_res_finish_position,predicted_res_beaten_lengths,predicted_res_odds
SA ,20241229, 8, 8,0,,0,1320,0,C,1,AQUINO ANGELA M,0,GARCIA ERICK,0,DEO,17,-1.1448733996890725,42,-1.5196255415644466,-3.4983430068706247
SA ,20241229, 9, 1,0,,0,1320,0,S,4,KRULJAC IAN,0,CARMONA SERAFIN,0,HULA PRANCER,32,-0.8077268491252996,66,0.23635566432788024,-1.6099108769050101
SA ,20241229, 9, 2,0,,0,1320,0,S,4,CALLAGHAN SIMON,0,DETTORI LANFRANCO,0,TAKE ANOTHER CARD,72,-0.949478437697946,71,-0.575982128648774,-2.5319724333845794
SA ,20241229, 9, 3,0,,0,1320,0,S,4,MATHIS ANDY,0,AGUILAR ARMANDO,0,GUILTYOFHAVINGFUN,30,-0.8608802489746944,37,-1.1378990951827959,-2.8633902440218857
SA ,20241229, 9, 4,0,,0,1320,0,S,4,MILLER PETER,0,PRAT FLAVIEN,0,WE THE HOBBY,78,-0.8431699178521027,17,-2.577105229845618,-3.886692603216752
SA ,20241229, 9, 5,0,,0,1320,0,S,4,GAINES CARLA,0,RISPOLI UMBERTO,0,LADY MENDELSSOHN,38,-0.9876243142955138,77,-0.737343230663214,-2.4232234861771627
SA ,20241229, 9, 6,0,,0,1320,0,S,4,GARCIA ANTONIO C,0,GONZALEZ RICARDO,0,MAGA KAI,41,-1.1643500668001827,72,-0.3638931915468878,-2.1213958713775276
SA ,20241229, 9, 7,0,,0,1320,0,S,4,POWELL LEONARD,0,LEZCANO ABEL,0,BIG WHOOSH,6,-1.060210606248186,75,-0.7393118226328422,-2.7033096536195194
SA ,20241229, 9, 8,0,,0,1320,0,S,4,O'NEILL DOUG,0,HERNANDEZ JUAN J,0,ODIES MEMORY LANE,49,-0.7584543593249478,40,-2.3979232362036487,-3.433148975224267
SA ,20241229, 9, 9,0,,0,1320,0,S,4,MANDELLA GARY,0,KIMURA KAZUSHI,0,SASAFRAN,60,-0.7648425895911094,76,0.5087940856222337,-2.435709507183968
SA ,20241229, 9,10,0,,0,1320,0,S,4,ORDONEZ AGGIE,0,PEREIRA TIAGO,0,OM N JOY,50,-0.8150124275904624,61,-0.11864315663679947,-2.097367472159791
SA ,20241229, 9,11,0,,0,1320,0,S,4,PUYPE MIKE,0,ORANTES WELFIN R,0,NEPAL,47,-1.061236675752682,60,-0.21060912444170843,-1.9395428603477691
SA ,20241229, 9,12,0,,0,1320,0,S,4,GARCIA ANTONIO C,0,GUTIERREZ MARIO,0,KAPALUA RIDE,36,-1.1207902094764162,80,-0.4376309608205903,-1.6378225282728074
SA ,20241229, 9,13,0,,0,1320,0,S,4,DRYSDALE NEIL,0,HERNANDEZ JUAN J,0,BUTTERFLY BEACH,9,-0.8091707750222341,70,0.20157255603319013,-2.197382211691427
SA ,20241229, 9,14,0,,0,1320,0,S,4,DAMATO PHILIP,0,FREY KYLE,0,MARIA TALLCHIEF,42,-0.9238426586188332,26,-2.6322587549122365,-3.4642221710308574
